Transaction_date,Transaction_ID,Gender,Age,Marital_status,State_names,Segment,Employed_status,Payment_method,Referal,Amount_spent,Age_Group
1/14/2019,151233,Male,15,Married,Missouri,Gold,Self-Employed,Card,1,$628.93,15-19
1/14/2019,151234,Female,59,Married,Pennsylvania,Basic,Employed,Card,0,"$1,729.36",50-59
1/14/2019,151235,Male,70,Married,New Hampshire,Silver,Employed,Other,1,"$2,040.29",70-79
1/14/2019,151236,Male,75,Married,Washington,Platinum,Employed,PayPal,1,"$2,744.88",70-79
1/16/2019,151237,Male,64,Married,Texas,Missing,Employed,PayPal,1,$351.88,60-69
1/16/2019,151238,Female,64,Married,Ohio,Silver,Unemployed,Other,0,$692.14,60-69
1/17/2019,151239,Male,64,Married,New York,Silver,Unemployed,PayPal,1,"$2,418.62",60-69
1/17/2019,151240,Female,21,Married,Kentucky,Basic,Employed,Card,0,"$2,734.15",20-29
1/17/2019,151241,Female,46,Married,New Mexico,Silver,Employed,PayPal,1,"$2,851.83",40-49
1/17/2019,151242,Female,16,Single,Texas,Gold,Self-Employed,PayPal,1,$938.16,15-19
1/18/2019,151243,Female,63,Married,Maine,Gold,Employed,PayPal,1,$281.92,60-69
1/19/2019,151244,Male,75,Single,Massachusetts,Basic,Employed,PayPal,1,$747.68,70-79
1/20/2019,151245,Male,70,Married,Wyoming,Basic,Unemployed,Card,1,"$1,784.15",70-79
1/20/2019,151246,Male,41,Single,Kentucky,Missing,Employed,PayPal,1,"$1,115.90",40-49
1/21/2019,151247,Male,33,Married,Florida,Silver,Employed,Other,0,"$1,902.47",30-39
1/21/2019,151248,Female,64,Single,Massachusetts,Platinum,Self-Employed,Card,1,"$1,949.92",60-69
1/22/2019,151249,Female,73,Married,Iowa,Basic,Unemployed,Card,0,$0.00,70-79
1/22/2019,151250,Female,16,Married,Maryland,Silver,Employed,PayPal,1,$583.72,15-19
1/22/2019,151251,Male,56,Single,Louisiana,Basic,Self-Employed,Card,0,"$2,445.03",50-59
1/22/2019,151252,Male,35,Married,North Carolina,Basic,Unemployed,PayPal,1,"$1,107.96",30-39
1/23/2019,151253,Male,51,Single,Kentucky,Basic,Self-Employed,PayPal,1,"$1,312.78",50-59
1/23/2019,151254,Male,15,Married,Illinois,Basic,Employed,Card,1,"$2,690.18",15-19
1/24/2019,151255,Male,26,Single,Rhode Island,Basic,Employed,PayPal,1,"$2,603.22",20-29
1/25/2019,151256,Female,67,Single,Iowa,Gold,Employed,PayPal,1,$611.70,60-69
1/25/2019,151257,Male,71,Single,Massachusetts,Gold,Employed,PayPal,1,"$2,569.67",70-79
1/25/2019,151258,Female,32,Single,South Carolina,Basic,Employed,Other,0,$676.70,30-39
1/25/2019,151259,Male,73,Married,West Virginia,Basic,Employed,PayPal,0,"$1,397.09",70-79
1/26/2019,151260,Male,55,Married,Kansas,Basic,Employed,Other,1,"$1,277.64",50-59
1/26/2019,151261,Female,72,Married,Iowa,Silver,Unemployed,PayPal,0,$515.77,70-79
1/26/2019,151262,Male,15,Married,South Carolina,Basic,Self-Employed,Other,1,$790.10,15-19
01/27/2019,151263,Female,63,Single,Texas,Gold,Employed,Card,1,"$1,218.56",60-69
1/25/2019,151259,Male,73,Married,West Virginia,Basic,Employed,PayPal,0,"$1,397.09",70-79
1/26/2019,151260,Male,55,Married,Kansas,Basic,Employed,Other,1,"$1,277.64",50-59
1/26/2019,151261,Female,72,Married,Iowa,Silver,Unemployed,PayPal,0,$515.77,70-79
1/26/2019,151262,Male,15,Married,South Carolina,Basic,Self-Employed,Other,1,$790.10,15-19
1/27/2019,151263,Female,63,Single,Texas,Gold,Employed,Card,1,"$1,218.56",60-69
1/27/2019,151264,Male,52,Married,Tennessee,Basic,Self-Employed,PayPal,1,"$2,850.48",50-59
1/27/2019,151265,Female,30,Single,California,Silver,Employed,Card,0,"$1,947.20",30-39
1/29/2019,151266,Male,24,Married,Colorado,Platinum,Employed,PayPal,0,"$1,731.54",20-29
1/29/2019,151267,Unknown,37,Single,Ohio,Basic,Unemployed,Other,1,$52.08,30-39
1/29/2019,151268,Male,53,Married,Maine,Silver,Employed,Card,0,$0.00,50-59
1/29/2019,151269,Male,21,Married,Montana,Basic,Employed,PayPal,0,$340.38,20-29
1/29/2019,151270,Male,24,Married,Oregon,Silver,Employed,Other,1,"$1,663.72",20-29
1/30/2019,151271,Unknown,48,Married,North Dakota,Basic,Unemployed,Card,1,$828.41,40-49
1/30/2019,151272,Female,69,Single,Texas,Missing,Employed,Card,0,$489.47,60-69
1/30/2019,151273,Female,73,Married,Alaska,Platinum,Self-Employed,PayPal,0,"$1,364.31",70-79
1/30/2019,151274,Male,50,Single,Oklahoma,Missing,Employed,Card,1,"$2,943.46",50-59
1/30/2019,151275,Male,28,Single,Connecticut,Basic,Unemployed,Card,1,"$2,768.15",20-29
1/31/2019,151276,Female,49,Married,Vermont,Basic,Employed,PayPal,1,"$2,439.65",40-49
1/31/2019,151277,Female,70,Married,Ohio,Silver,Employed,Other,1,$574.10,70-79
02/01/2019,151278,Female,61,Single,Oklahoma,Basic,Self-Employed,Card,0,$206.79,60-69
02/02/2019,151279,Female,21,Married,Oregon,Basic,Self-Employed,Other,0,$0.00,20-29
02/02/2019,151280,Male,34,Single,Illinois,Silver,Employed,PayPal,1,"$1,933.66",30-39
02/02/2019,151281,Female,58,Married,Nevada,Gold,Employed,Card,0,"$2,640.72",50-59
02/02/2019,151282,Male,70,Single,New Jersey,Basic,Employed,PayPal,0,"$2,969.24",70-79
02/02/2019,151283,Female,48,Married,Louisiana,Silver,Employed,Other,0,"$1,144.28",40-49
02/03/2019,151284,Female,43,Married,Massachusetts,Platinum,Self-Employed,Other,1,$0.00,40-49
02/03/2019,151285,Female,51,Married,Indiana,Platinum,Employed,PayPal,1,"$2,722.37",50-59
02/03/2019,151286,Male,45,Single,New York,Basic,Employed,Other,0,"$2,823.89",40-49
02/04/2019,151287,Female,45,Single,New York,Silver,Employed,PayPal,0,"$1,955.43",40-49
02/04/2019,151288,Male,60,Married,Rhode Island,Silver,Employed,Card,1,$841.26,60-69
02/05/2019,151289,Female,41,Single,Florida,Basic,Self-Employed,Card,1,$0.00,40-49
02/05/2019,151290,Female,51,Single,Arkansas,Platinum,Employed,Card,1,"$2,547.96",50-59
02/05/2019,151291,Female,15,Single,Virginia,Basic,Unemployed,Card,1,"$2,922.97",15-19
02/05/2019,151292,Male,55,Married,Michigan,Basic,Employed,PayPal,0,$803.50,50-59
02/06/2019,151293,Male,75,Married,Maryland,Basic,Employed,Card,1,"$1,612.63",70-79
02/06/2019,151294,Female,77,Single,Nebraska,Platinum,Employed,PayPal,1,"$1,608.27",70-79
02/06/2019,151295,Female,22,Married,Kansas,Missing,Employed,Card,0,"$2,061.14",20-29
02/06/2019,151296,Female,33,Married,Virginia,Platinum,Employed,PayPal,0,"$2,989.33",30-39
02/06/2019,151297,Male,60,Married,Utah,Silver,Unemployed,Other,1,$433.20,60-69
02/07/2019,151298,Female,45,Married,Missouri,Platinum,Employed,Other,1,$929.89,40-49
02/08/2019,151299,Male,33,Single,Arizona,Silver,Employed,PayPal,0,"$2,560.26",30-39
02/08/2019,151300,Male,24,Married,South Carolina,Basic,Unemployed,Other,0,$0.00,20-29
02/08/2019,151301,Female,53,Single,Colorado,Basic,Self-Employed,Other,1,"$1,888.69",50-59
02/08/2019,151302,Female,70,Married,New Hampshire,Missing,Employed,Card,1,$685.49,70-79
02/08/2019,151303,Male,16,Married,Nebraska,Basic,Employed,PayPal,1,"$1,264.73",15-19
02/06/2019,151297,Male,60,Married,Utah,Silver,Unemployed,Other,1,$433.20,60-69
02/07/2019,151298,Female,45,Married,Missouri,Platinum,Employed,Other,1,$929.89,40-49
02/08/2019,151299,Male,33,Single,Arizona,Silver,Employed,PayPal,0,"$2,560.26",30-39
02/08/2019,151300,Male,24,Married,South Carolina,Basic,Unemployed,Other,0,$0.00,20-29
02/08/2019,151301,Female,53,Single,Colorado,Basic,Self-Employed,Other,1,"$1,888.69",50-59
02/08/2019,151302,Female,70,Married,New Hampshire,Missing,Employed,Card,1,$685.49,70-79
02/08/2019,151303,Male,16,Married,Nebraska,Basic,Employed,PayPal,1,"$1,264.73",15-19
02/10/2019,151304,Male,50,Married,Montana,Basic,Employed,Card,1,$0.00,50-59
02/10/2019,151305,Female,25,Married,Wyoming,Silver,Employed,Other,1,$309.82,20-29
02/10/2019,151306,Female,76,Single,Ohio,Basic,Self-Employed,PayPal,1,"$1,331.62",70-79
02/11/2019,151307,Female,43,Married,Wyoming,Basic,Employed,Card,1,$914.94,40-49
02/11/2019,151308,Female,32,Single,Oregon,Basic,Employed,PayPal,1,"$2,922.53",30-39
02/11/2019,151309,Male,43,Married,Tennessee,Silver,Self-Employed,PayPal,0,"$2,434.81",40-49
02/12/2019,151310,Female,19,Single,Louisiana,Platinum,Employed,Card,0,"$1,711.60",15-19
02/12/2019,151311,Female,41,Married,Utah,Basic,Self-Employed,Other,0,"$1,178.02",40-49
02/12/2019,151312,Male,32,Married,Florida,Silver,Employed,PayPal,1,$15.37,30-39
02/12/2019,151313,Male,76,Single,Michigan,Silver,Unemployed,PayPal,1,$764.34,70-79
02/12/2019,151314,Female,55,Married,Kansas,Platinum,Employed,PayPal,1,$329.18,50-59
2/13/2019,151315,Female,72,Single,South Dakota,Basic,Unemployed,Other,0,"$1,380.00",70-79
2/13/2019,151316,Male,56,Single,Virginia,Platinum,Self-Employed,PayPal,1,$46.72,50-59
2/13/2019,151317,Male,74,Single,Connecticut,Basic,Employed,Other,1,$560.13,70-79
2/13/2019,151318,Female,34,Married,Kentucky,Platinum,Employed,Other,1,$0.00,30-39
2/13/2019,151319,Female,54,Married,Georgia,Basic,Unemployed,Other,0,"$1,034.15",50-59
2/14/2019,151320,Female,31,Married,Washington,Missing,Self-Employed,Card,1,"$2,508.55",30-39
2/14/2019,151321,Female,69,Single,Montana,Basic,Self-Employed,PayPal,1,"$2,906.08",60-69
2/15/2019,151322,Male,52,Single,Michigan,Gold,Unemployed,PayPal,1,"$1,093.33",50-59
2/15/2019,151323,Female,15,Married,Alaska,Basic,Self-Employed,Other,0,"$1,408.10",15-19
2/16/2019,151324,Male,74,Single,Wisconsin,Basic,Employed,Card,0,$490.37,70-79
2/16/2019,151325,Female,68,Single,Rhode Island,Basic,Employed,PayPal,1,$0.00,60-69
2/17/2019,151326,Male,24,Married,Louisiana,Missing,Employed,Other,0,"$1,204.03",20-29
2/17/2019,151327,Female,77,Single,Kansas,Platinum,Self-Employed,PayPal,0,$200.58,70-79
2/18/2019,151328,Female,16,Married,Georgia,Basic,Employed,PayPal,0,"$1,253.32",15-19
2/19/2019,151329,Female,33,Single,Kentucky,Basic,Employed,Card,0,"$1,486.32",30-39
2/19/2019,151330,Male,26,Married,Idaho,Basic,Unemployed,PayPal,0,"$1,461.49",20-29
2/20/2019,151331,Male,28,Single,West Virginia,Platinum,Employed,Card,1,"$1,893.16",20-29
2/20/2019,151332,Female,49,Married,Nebraska,Basic,Employed,PayPal,1,"$1,321.70",40-49
2/20/2019,151333,Male,52,Married,New Mexico,Basic,Employed,Other,0,$861.26,50-59
2/21/2019,151334,Male,18,Single,Alabama,Silver,Employed,Other,0,$459.47,15-19
2/21/2019,151335,Male,71,Single,Oregon,Basic,Employed,PayPal,0,$685.01,70-79
2/21/2019,151336,Male,22,Married,New Mexico,Gold,Employed,PayPal,0,"$1,862.93",20-29
2/21/2019,151337,Female,54,Married,Michigan,Basic,Unemployed,PayPal,1,"$2,831.72",50-59
2/21/2019,151338,Female,77,Married,Montana,Basic,Employed,Other,1,$875.44,70-79
2/21/2019,151339,Male,59,Married,Ohio,Basic,Employed,Other,1,$435.79,50-59
2/22/2019,151340,Male,61,Married,California,Basic,Self-Employed,PayPal,1,$670.59,60-69
2/23/2019,151341,Female,45,Married,Montana,Basic,Employed,PayPal,0,"$2,497.39",40-49
2/23/2019,151342,Male,39,Married,Pennsylvania,Silver,Employed,Other,1,$93.11,30-39
2/24/2019,151343,Male,16,Married,Oklahoma,Gold,Employed,Card,1,"$2,497.12",15-19
2/25/2019,151344,Female,28,Single,North Dakota,Silver,Employed,Card,1,"$1,733.65",20-29
2/26/2019,151345,Male,25,Married,West Virginia,Basic,Employed,PayPal,1,"$2,746.61",20-29
2/26/2019,151346,Female,42,Married,Arkansas,Silver,Employed,Card,1,"$2,789.59",40-49
2/26/2019,151347,Female,28,Married,California,Basic,Employed,PayPal,1,"$1,287.31",20-29
2/27/2019,151348,Male,63,Married,Arizona,Gold,Employed,PayPal,1,"$1,747.91",60-69
2/28/2019,151349,Male,46,Single,Rhode Island,Platinum,Employed,PayPal,0,$214.92,40-49
2/28/2019,151350,Female,78,Single,Michigan,Basic,Employed,PayPal,0,"$2,555.05",70-79
03/01/2019,151351,Female,75,Married,Oklahoma,Basic,Self-Employed,Other,1,"$1,319.12",70-79
03/01/2019,151352,Female,64,Married,New York,Basic,Employed,PayPal,1,"$1,581.77",60-69
03/02/2019,151353,Female,28,Single,Vermont,Silver,Employed,Other,1,"$2,422.79",20-29
03/02/2019,151354,Female,42,Single,Illinois,Silver,Employed,Card,1,$971.01,40-49
03/02/2019,151355,Female,66,Married,Georgia,Basic,Employed,PayPal,1,$783.89,60-69
03/03/2019,151356,Female,62,Married,Mississippi,Silver,Unemployed,Other,1,$503.49,60-69
03/03/2019,151357,Male,15,Married,Florida,Gold,Employed,Other,1,"$1,790.90",15-19
03/03/2019,151358,Male,76,Married,Georgia,Missing,Employed,Other,1,"$1,832.59",70-79
03/04/2019,151359,Female,53,Married,Nevada,Platinum,Self-Employed,PayPal,0,$71.73,50-59
03/04/2019,151360,Male,39,Married,Idaho,Basic,Employed,PayPal,1,"$2,486.94",30-39
03/04/2019,151361,Female,58,Married,North Carolina,Silver,Employed,PayPal,1,$520.69,50-59
03/05/2019,151362,Female,30,Married,New Jersey,Gold,Employed,Card,1,$918.51,30-39
03/05/2019,151363,Female,17,Single,West Virginia,Basic,Self-Employed,PayPal,1,"$1,070.97",15-19
03/05/2019,151364,Unknown,40,Married,Colorado,Missing,Self-Employed,PayPal,1,"$1,089.97",40-49
03/06/2019,151365,Female,20,Married,Georgia,Silver,Self-Employed,PayPal,1,"$1,618.44",20-29
03/06/2019,151366,Male,46,Married,Alaska,Platinum,Unemployed,Other,1,"$2,417.73",40-49
03/06/2019,151367,Female,36,Single,Iowa,Basic,Unknown,PayPal,1,$677.36,30-39
03/07/2019,151368,Female,20,Married,New York,Basic,Employed,PayPal,0,"$2,694.20",20-29
03/07/2019,151369,Female,20,Single,Minnesota,Basic,Employed,PayPal,0,$922.31,20-29
03/07/2019,151370,Female,30,Married,Maryland,Platinum,Employed,PayPal,1,$350.68,30-39
03/07/2019,151371,Male,40,Married,Rhode Island,Silver,Employed,Card,1,"$1,152.11",40-49
03/07/2019,151372,Male,45,Single,Ohio,Basic,Employed,Other,1,"$1,742.52",40-49
03/08/2019,151373,Female,17,Single,Hawaii,Silver,Employed,Card,1,$655.42,15-19
03/08/2019,151374,Female,40,Married,Idaho,Silver,Employed,Other,0,"$1,977.22",40-49
03/09/2019,151375,Female,47,Married,West Virginia,Basic,Employed,Other,0,"$1,829.32",40-49
03/09/2019,151376,Male,37,Married,Oklahoma,Basic,Employed,Card,0,$782.67,30-39
03/09/2019,151377,Female,55,Single,California,Silver,Self-Employed,Card,1,$0.00,50-59
03/10/2019,151378,Female,25,Single,Wyoming,Platinum,Unemployed,Card,1,"$2,740.57",20-29
03/10/2019,151379,Unknown,32,Single,Arkansas,Basic,Employed,Other,1,$215.16,30-39
03/10/2019,151380,Female,17,Married,Mississippi,Basic,Unemployed,Card,1,"$1,277.84",15-19
03/11/2019,151381,Male,47,Single,Alabama,Basic,Employed,PayPal,0,"$1,500.59",40-49
03/12/2019,151382,Female,62,Married,New Mexico,Platinum,Employed,Card,0,$103.59,60-69
03/12/2019,151383,Male,33,Married,Delaware,Basic,Employed,Other,1,"$1,064.87",30-39
3/13/2019,151384,Female,72,Married,Nevada,Basic,Self-Employed,Other,0,$89.91,70-79
3/13/2019,151385,Male,43,Married,Missouri,Silver,Employed,Card,0,"$2,903.96",40-49
3/13/2019,151386,Female,34,Married,Alaska,Missing,Employed,Card,0,"$1,493.10",30-39
3/14/2019,151387,Female,49,Married,Oklahoma,Missing,Employed,PayPal,0,"$2,562.52",40-49
3/14/2019,151388,Male,25,Single,Maine,Gold,Employed,Other,1,$0.00,20-29
3/14/2019,151389,Female,19,Married,Tennessee,Silver,Employed,PayPal,0,"$1,003.62",15-19
3/14/2019,151390,Male,47,Single,Wyoming,Gold,Unemployed,Other,1,$234.19,40-49
3/14/2019,151391,Female,15,Married,Wyoming,Basic,Employed,PayPal,1,"$2,089.53",15-19
3/15/2019,151392,Male,66,Married,Massachusetts,Silver,Employed,PayPal,1,"$2,698.50",60-69
3/15/2019,151393,Female,37,Married,Arizona,Basic,Employed,Other,1,$0.00,30-39
3/15/2019,151394,Male,62,Single,Texas,Silver,Employed,Card,0,$69.84,60-69
3/16/2019,151395,Unknown,67,Single,Illinois,Gold,Employed,Card,1,"$2,562.33",60-69
3/16/2019,151396,Male,21,Single,Minnesota,Platinum,Employed,PayPal,1,"$2,635.13",20-29
3/16/2019,151397,Male,75,Single,Kentucky,Platinum,Unemployed,Card,1,$0.00,70-79
3/17/2019,151398,Male,17,Married,Nevada,Silver,Employed,Other,1,"$1,092.95",15-19
3/17/2019,151399,Female,62,Married,Massachusetts,Gold,Self-Employed,Card,1,$0.00,60-69
3/17/2019,151400,Unknown,15,Single,Maine,Basic,Employed,Card,1,"$1,038.55",15-19
3/18/2019,151401,Male,64,Single,North Carolina,Platinum,Unemployed,Card,1,"$2,590.51",60-69
3/19/2019,151402,Male,54,Single,North Dakota,Basic,Employed,Card,1,"$1,659.73",50-59
3/20/2019,151403,Female,45,Single,Montana,Platinum,Employed,PayPal,1,$968.41,40-49
3/20/2019,151404,Female,43,Married,Maine,Silver,Employed,PayPal,0,$705.68,40-49
3/20/2019,151405,Male,26,Married,Minnesota,Basic,Employed,Card,0,$982.40,20-29
3/21/2019,151406,Male,17,Single,North Carolina,Basic,Self-Employed,Other,1,"$1,390.46",15-19
3/21/2019,151407,Male,78,Married,Idaho,Silver,Employed,Card,0,$378.43,70-79
3/21/2019,151408,Female,65,Married,Vermont,Platinum,Employed,Card,1,$61.35,60-69
3/21/2019,151409,Male,19,Single,Massachusetts,Basic,Unemployed,PayPal,1,"$1,081.90",15-19
3/21/2019,151410,Male,65,Married,Nebraska,Basic,Employed,Card,1,$0.00,60-69
3/21/2019,151411,Female,35,Single,New Mexico,Basic,Employed,PayPal,0,"$2,878.76",30-39
3/22/2019,151412,Female,41,Married,Michigan,Silver,Employed,PayPal,1,$225.14,40-49
3/22/2019,151413,Male,59,Single,Missouri,Platinum,Employed,Other,1,"$2,452.97",50-59
3/22/2019,151414,Female,64,Married,Vermont,Platinum,Employed,Other,1,"$2,054.68",60-69
3/23/2019,151415,Female,15,Single,New York,Basic,Self-Employed,PayPal,1,"$1,690.62",15-19
3/23/2019,151416,Female,58,Married,Kentucky,Basic,Employed,PayPal,0,$931.82,50-59
3/23/2019,151417,Male,62,Married,Vermont,Basic,Employed,Card,1,"$2,875.62",60-69
3/23/2019,151418,Male,41,Single,Virginia,Basic,Employed,Card,1,"$1,326.62",40-49
3/23/2019,151419,Unknown,62,Married,North Carolina,Silver,Employed,PayPal,1,"$2,909.85",60-69
3/24/2019,151420,Female,18,Single,Florida,Silver,Employed,PayPal,1,"$2,493.01",15-19
3/24/2019,151421,Male,63,Married,Indiana,Gold,Self-Employed,Card,1,$414.51,60-69
3/25/2019,151422,Female,71,Married,Oklahoma,Gold,Employed,PayPal,1,"$1,865.09",70-79
3/25/2019,151423,Female,38,Married,Nebraska,Silver,Self-Employed,PayPal,0,$0.00,30-39
3/25/2019,151424,Female,51,Married,Oklahoma,Platinum,Employed,PayPal,1,"$1,165.53",50-59
3/25/2019,151425,Male,76,Single,Delaware,Basic,Employed,Card,1,$0.00,70-79
3/25/2019,151426,Female,78,Single,Indiana,Basic,Employed,PayPal,1,"$1,264.81",70-79
3/26/2019,151427,Male,70,Married,South Dakota,Platinum,Employed,PayPal,1,"$1,989.96",70-79
3/26/2019,151428,Female,59,Single,West Virginia,Basic,Employed,PayPal,0,$0.00,50-59
3/27/2019,151429,Male,16,Married,Idaho,Basic,Self-Employed,PayPal,1,$387.77,15-19
3/28/2019,151430,Female,18,Single,Illinois,Basic,Unemployed,PayPal,1,"$2,589.36",15-19
3/29/2019,151431,Female,53,Single,Virginia,Platinum,Employed,PayPal,0,"$1,494.10",50-59
3/29/2019,151432,Female,47,Single,South Carolina,Silver,Employed,Card,1,"$2,779.66",40-49
3/29/2019,151433,Male,57,Married,New Jersey,Platinum,Unemployed,Other,1,$841.23,50-59
3/29/2019,151434,Unknown,47,Married,South Dakota,Platinum,Employed,Other,1,$0.00,40-49
3/29/2019,151435,Male,19,Married,Massachusetts,Gold,Employed,Other,1,"$2,694.54",15-19
3/29/2019,151436,Male,64,Single,Mississippi,Basic,Employed,Card,0,"$2,432.67",60-69
3/29/2019,151437,Male,57,Single,Nevada,Basic,Self-Employed,PayPal,1,$80.64,50-59
3/30/2019,151438,Female,67,Married,South Carolina,Basic,Employed,PayPal,1,"$2,960.41",60-69
3/30/2019,151439,Female,53,Married,New Hampshire,Basic,Employed,Other,0,"$2,600.69",50-59
3/30/2019,151440,Female,68,Married,Ohio,Basic,Employed,PayPal,1,$550.44,60-69
3/31/2019,151441,Female,44,Single,Virginia,Platinum,Unknown,PayPal,0,"$1,226.06",40-49
3/31/2019,151442,Female,78,Married,New York,Missing,Employed,PayPal,0,"$2,959.54",70-79
3/31/2019,151443,Female,76,Single,Vermont,Platinum,Employed,Other,1,"$1,672.01",70-79
3/31/2019,151444,Female,60,Single,New Jersey,Basic,Self-Employed,Card,1,"$1,891.16",60-69
3/31/2019,151445,Female,45,Married,Arizona,Basic,Employed,Card,1,"$1,692.07",40-49
04/01/2019,151446,Male,54,Single,West Virginia,Gold,Self-Employed,PayPal,1,$485.43,50-59
04/01/2019,151447,Female,57,Single,Georgia,Basic,Unemployed,PayPal,1,$625.29,50-59
04/01/2019,151448,Male,48,Single,Wisconsin,Basic,Self-Employed,PayPal,1,"$1,471.54",40-49
04/02/2019,151449,Unknown,62,Married,New Mexico,Gold,Self-Employed,PayPal,0,"$1,200.69",60-69
04/02/2019,151450,Male,27,Single,California,Basic,Employed,PayPal,1,"$1,929.33",20-29
04/02/2019,151451,Female,66,Married,Washington,Missing,Employed,PayPal,1,$0.00,60-69
04/02/2019,151452,Male,57,Married,Texas,Silver,Employed,PayPal,1,"$2,670.72",50-59
04/02/2019,151453,Female,46,Married,Pennsylvania,Basic,Employed,Card,1,$0.00,40-49
04/03/2019,151454,Male,34,Married,Texas,Basic,Self-Employed,Card,0,"$1,901.16",30-39
04/04/2019,151455,Female,48,Married,Alaska,Gold,Employed,Card,0,"$1,728.06",40-49
04/04/2019,151456,Female,0,Married,New Mexico,Basic,Unemployed,Card,1,"$2,863.62",90 & Above
04/04/2019,151457,Female,49,Single,Hawaii,Basic,Employed,PayPal,1,"$1,822.31",40-49
04/04/2019,151458,Female,77,Single,Arizona,Basic,Self-Employed,Card,0,$711.52,70-79
04/05/2019,151459,Male,58,Married,California,Platinum,Employed,Card,0,$0.00,50-59
04/05/2019,151460,Male,28,Married,Louisiana,Platinum,Employed,PayPal,0,$0.00,20-29
04/06/2019,151461,Female,15,Married,Arizona,Basic,Self-Employed,PayPal,1,$198.48,15-19
04/06/2019,151462,Female,58,Married,Mississippi,Basic,Employed,PayPal,1,$418.28,50-59
04/06/2019,151463,Male,27,Single,Oregon,Silver,Employed,PayPal,0,$913.81,20-29
04/07/2019,151464,Female,64,Married,Massachusetts,Gold,Self-Employed,PayPal,0,$0.00,60-69
04/07/2019,151465,Female,36,Married,Texas,Platinum,Employed,Card,0,"$1,608.01",30-39
04/07/2019,151466,Male,43,Married,Montana,Basic,Unemployed,PayPal,1,"$2,681.13",40-49
04/07/2019,151467,Female,0,Married,Nevada,Basic,Self-Employed,Card,1,"$2,414.29",90 & Above
04/07/2019,151468,Female,59,Married,Iowa,Gold,Employed,PayPal,0,"$2,410.23",50-59
04/08/2019,151469,Female,73,Married,Texas,Basic,Employed,PayPal,1,$63.20,70-79
